Employee_ID,Employee_Name,Department,Manager_ID,Region_ID,Hire_Date,Monthly_Salary,Status
E00001,Karthik Raj,Sales,,R002,2025-09-02,27500,Active
E00002,Rahul Verma,Marketing,,R003,2025-09-03,30000,Active
E00003,Aarav Sharma,Marketing,,R004,2025-09-04,32500,Active
E00004,Karthik Raj,Operations,,R005,2025-09-05,35000,Active
E00005,Divya Menon,Marketing,,R006,2025-09-06,37500,Active
E00006,Arjun Rao,Customer Support,,R007,2025-09-07,40000,Active
E00007,Vijay Kumar,Customer Support,,R008,2025-09-08,42500,Active
E00008,Arjun Rao,Sales,,R009,2025-09-09,45000,Active
E00009,Vijay Kumar,Operations,,R010,2025-09-10,47500,Active
E00010,Aarav Sharma,Marketing,,R011,2025-09-11,50000,Active
E00011,Vijay Kumar,Marketing,E00002,R012,2025-09-12,52500,Active
E00012,Meera Patel,Finance,E00003,R013,2025-09-13,55000,Active
E00013,Priya Nair,Marketing,E00004,R014,2025-09-14,57500,Active
E00014,Priya Nair,Sales,E00005,R015,2025-09-15,60000,Active
E00015,Vijay Kumar,Operations,E00006,R016,2025-09-16,62500,Active
E00016,Priya Nair,Operations,E00007,R017,2025-09-17,65000,Active
E00017,Rahul Verma,Customer Support,E00008,R018,2025-09-18,67500,Active
E00018,Aarav Sharma,Operations,E00009,R019,2025-09-19,70000,Active
E00019,Priya Nair,Finance,E00010,R020,2025-09-20,72500,Active
E00020,Karthik Raj,Operations,E00001,R001,2025-09-21,75000,Active
E00021,Divya Menon,Sales,E00002,R002,2025-09-22,77500,Active
E00022,Vijay Kumar,Customer Support,E00003,R003,2025-09-23,80000,Active
E00023,Anitha Iyer,Finance,E00004,R004,2025-09-24,82500,Active
E00024,Anitha Iyer,Marketing,E00005,R005,2025-09-25,85000,Active
E00025,Aarav Sharma,Operations,E00006,R006,2025-09-26,87500,Active
E00026,Karthik Raj,Operations,E00007,R007,2025-09-27,90000,Active
E00027,Arjun Rao,Sales,E00008,R008,2025-09-28,92500,Active
E00028,Aarav Sharma,Sales,E00009,R009,2025-09-29,95000,Active
E00029,Divya Menon,Operations,E00010,R010,2025-09-30,97500,Active
E00030,Arjun Rao,Customer Support,E00001,R011,2025-10-01,25000,Active
E00031,Divya Menon,Sales,E00002,R012,2025-10-02,27500,Active
E00032,Aarav Sharma,Finance,E00003,R013,2025-10-03,30000,Active
E00033,Divya Menon,Customer Support,E00004,R014,2025-10-04,32500,Active
E00034,Aarav Sharma,Marketing,E00005,R015,2025-10-05,35000,Active
E00035,Divya Menon,Operations,E00006,R016,2025-10-06,37500,Active
E00036,Vijay Kumar,Finance,E00007,R017,2025-10-07,40000,Active
E00037,Anitha Iyer,Marketing,E00008,R018,2025-10-08,42500,Active
E00038,Karthik Raj,Sales,E00009,R019,2025-10-09,45000,Active
E00039,Priya Nair,Finance,E00010,R020,2025-10-10,47500,Active
E00040,Aarav Sharma,Sales,E00001,R001,2025-10-11,50000,Active
E00041,Neha Singh,Marketing,E00002,R002,2025-10-12,52500,Active
E00042,Meera Patel,Operations,E00003,R003,2025-10-13,55000,Active
E00043,Priya Nair,Customer Support,E00004,R004,2025-10-14,57500,Active
E00044,Anitha Iyer,Finance,E00005,R005,2025-10-15,60000,Active
E00045,Vijay Kumar,Marketing,E00006,R006,2025-10-16,62500,Active
E00046,Arjun Rao,Marketing,E00007,R007,2025-10-17,65000,Active
E00047,Meera Patel,Customer Support,E00008,R008,2025-10-18,67500,Inactive
E00048,Aarav Sharma,Operations,E00009,R009,2025-10-19,70000,Active
E00049,Aarav Sharma,Sales,E00010,R010,2025-10-20,72500,Active
E00050,Neha Singh,Customer Support,E00001,R011,2025-10-21,75000,Active
E00051,Aarav Sharma,Operations,E00002,R012,2025-10-22,77500,Active
E00052,Vijay Kumar,Customer Support,E00003,R013,2025-10-23,80000,Active
E00053,Priya Nair,Operations,E00004,R014,2025-10-24,82500,Active
E00054,Meera Patel,Customer Support,E00005,R015,2025-10-25,85000,Active
E00055,Divya Menon,Customer Support,E00006,R016,2025-10-26,87500,Active
E00056,Rahul Verma,Sales,E00007,R017,2025-10-27,90000,Active
E00057,Meera Patel,Customer Support,E00008,R018,2025-10-28,92500,Active
E00058,Karthik Raj,Sales,E00009,R019,2025-10-29,95000,Active
E00059,Vijay Kumar,Operations,E00010,R020,2025-10-30,97500,Active
E00060,Vijay Kumar,Sales,E00001,R001,2025-10-31,25000,Active
E00061,Arjun Rao,Customer Support,E00002,R002,2025-11-01,27500,Active
E00062,Arjun Rao,Finance,E00003,R003,2025-11-02,30000,Active
E00063,Divya Menon,Operations,E00004,R004,2025-11-03,32500,Active
E00064,Divya Menon,Operations,E00005,R005,2025-11-04,35000,Active
E00065,Karthik Raj,Operations,E00006,R006,2025-11-05,37500,Active
E00066,Neha Singh,Customer Support,E00007,R007,2025-11-06,40000,Active
E00067,Arjun Rao,Finance,E00008,R008,2025-11-07,42500,Active
E00068,Priya Nair,Marketing,E00009,R009,2025-11-08,45000,Active
E00069,Anitha Iyer,Operations,E00010,R010,2025-11-09,47500,Active
E00070,Karthik Raj,Customer Support,E00001,R011,2025-11-10,50000,Active
E00071,Karthik Raj,Marketing,E00002,R012,2025-11-11,52500,Active
E00072,Karthik Raj,Sales,E00003,R013,2025-11-12,55000,Active
E00073,Karthik Raj,Marketing,E00004,R014,2025-11-13,57500,Active
E00074,Aarav Sharma,Marketing,E00005,R015,2025-11-14,60000,Active
E00075,Karthik Raj,Operations,E00006,R016,2025-11-15,62500,Active
E00076,Vijay Kumar,Operations,E00007,R017,2025-11-16,65000,Active
E00077,Karthik Raj,Operations,E00008,R018,2025-11-17,67500,Active
E00078,Vijay Kumar,Marketing,E00009,R019,2025-11-18,70000,Active
E00079,Aarav Sharma,Operations,E00010,R020,2025-11-19,72500,Active
E00080,Rahul Verma,Sales,E00001,R001,2025-11-20,75000,Active
E00081,Aarav Sharma,Finance,E00002,R002,2025-11-21,77500,Active
E00082,Arjun Rao,Customer Support,E00003,R003,2025-11-22,80000,Active
E00083,Arjun Rao,Operations,E00004,R004,2025-11-23,82500,Active
E00084,Anitha Iyer,Finance,E00005,R005,2025-11-24,85000,Active
E00085,Aarav Sharma,Marketing,E00006,R006,2025-11-25,87500,Active
E00086,Rahul Verma,Marketing,E00007,R007,2025-11-26,90000,Active
E00087,Rahul Verma,Customer Support,E00008,R008,2025-11-27,92500,Active
E00088,Anitha Iyer,Customer Support,E00009,R009,2025-11-28,95000,Active
E00089,Divya Menon,Marketing,E00010,R010,2025-11-29,97500,Active
E00090,Priya Nair,Sales,E00001,R011,2025-11-30,25000,Active
E00091,Karthik Raj,Marketing,E00002,R012,2025-12-01,27500,Active
E00092,Rahul Verma,Sales,E00003,R013,2025-12-02,30000,Active
E00093,Meera Patel,Finance,E00004,R014,2025-12-03,32500,Active
E00094,Neha Singh,Sales,E00005,R015,2025-12-04,35000,Inactive
E00095,Karthik Raj,Marketing,E00006,R016,2025-12-05,37500,Active
E00096,Karthik Raj,Marketing,E00007,R017,2025-12-06,40000,Active
E00097,Meera Patel,Sales,E00008,R018,2025-12-07,42500,Active
E00098,Priya Nair,Sales,E00009,R019,2025-12-08,45000,Active
E00099,Divya Menon,Finance,E00010,R020,2025-12-09,47500,Active
E00100,Divya Menon,Marketing,E00001,R001,2025-12-10,50000,Active
E00101,Meera Patel,Sales,E00002,R002,2025-12-11,52500,Active
E00102,Anitha Iyer,Marketing,E00003,R003,2025-12-12,55000,Active
E00103,Vijay Kumar,Customer Support,E00004,R004,2025-12-13,57500,Active
E00104,Anitha Iyer,Finance,E00005,R005,2025-12-14,60000,Active
E00105,Anitha Iyer,Operations,E00006,R006,2025-12-15,62500,Active
E00106,Anitha Iyer,Sales,E00007,R007,2025-12-16,65000,Active
E00107,Rahul Verma,Sales,E00008,R008,2025-12-17,67500,Active
E00108,Karthik Raj,Sales,E00009,R009,2025-12-18,70000,Active
E00109,Priya Nair,Marketing,E00010,R010,2025-12-19,72500,Active
E00110,Meera Patel,Sales,E00001,R011,2025-12-20,75000,Active
E00111,Neha Singh,Sales,E00002,R012,2025-12-21,77500,Active
E00112,Neha Singh,Operations,E00003,R013,2025-12-22,80000,Active
E00113,Karthik Raj,Sales,E00004,R014,2025-12-23,82500,Active
E00114,Priya Nair,Finance,E00005,R015,2025-12-24,85000,Active
E00115,Rahul Verma,Sales,E00006,R016,2025-12-25,87500,Active
E00116,Rahul Verma,Operations,E00007,R017,2025-12-26,90000,Active
E00117,Neha Singh,Finance,E00008,R018,2025-12-27,92500,Active
E00118,Divya Menon,Finance,E00009,R019,2025-12-28,95000,Active
E00119,Meera Patel,Operations,E00010,R020,2025-12-29,97500,Active
E00120,Anitha Iyer,Marketing,E00001,R001,2025-12-30,25000,Active
E00121,Meera Patel,Customer Support,E00002,R002,2025-12-31,27500,Active
E00122,Divya Menon,Operations,E00003,R003,2026-01-01,30000,Active
E00123,Arjun Rao,Sales,E00004,R004,2026-01-02,32500,Active
E00124,Neha Singh,Operations,E00005,R005,2026-01-03,35000,Active
E00125,Aarav Sharma,Sales,E00006,R006,2026-01-04,37500,Active
E00126,Rahul Verma,Finance,E00007,R007,2026-01-05,40000,Active
E00127,Anitha Iyer,Sales,E00008,R008,2026-01-06,42500,Active
E00128,Aarav Sharma,Finance,E00009,R009,2026-01-07,45000,Active
E00129,Karthik Raj,Sales,E00010,R010,2026-01-08,47500,Active
E00130,Rahul Verma,Sales,E00001,R011,2026-01-09,50000,Active
E00131,Neha Singh,Operations,E00002,R012,2026-01-10,52500,Active
E00132,Neha Singh,Sales,E00003,R013,2026-01-11,55000,Active
E00133,Rahul Verma,Customer Support,E00004,R014,2026-01-12,57500,Active
E00134,Vijay Kumar,Customer Support,E00005,R015,2026-01-13,60000,Active
E00135,Meera Patel,Customer Support,E00006,R016,2026-01-14,62500,Active
E00136,Priya Nair,Customer Support,E00007,R017,2026-01-15,65000,Active
