Issue_ID,Department,Issue_Type,Entity_ID,Entity_Name,Metric,Actual_Value,Expected_Value,Variance,Priority,Root_Cause,Financial_Impact,Recommended_Action,Source,Report_Date
ISSUE-00001,Procurement,Supplier Performance Issue,S00061,Supplier 061,Supplier Performance Score,56.12,70.0,-13.88,Critical,Cost Up + Delivery Down + Quality Down,228028440.0,Renegotiate pricing and SLA immediately; conduct quality audit and evaluate alternate supplier.,Supplier Analytics,2026-09-16
ISSUE-00002,Procurement,Supplier Performance Issue,S00134,Supplier 134,Supplier Performance Score,38.89,70.0,-31.11,Critical,One Performance Issue,141362021.4,Place supplier under formal review and shift critical purchase volume to better-performing suppliers.,Supplier Analytics,2026-09-16
ISSUE-00003,Finance,Revenue Reconciliation Difference,COMPANY,Enterprise BI Company,Management Revenue vs Reconciled Revenue,38990021.08,0.0,38990021.08,Critical,"Management revenue differs because of discounts, returns, refunds, unmatched transactions and source-system differences.",38990021.08,"Reconcile orders, sales, returns, invoices and payments before publishing management revenue.",Revenue Reconciliation Analysis,2026-09-16
ISSUE-00004,Inventory,Critical Anomaly,P00560-W020-2025-11-19,Inventory Record,Anomaly Score,99.09,60.0,39.09,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1670340.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00005,Inventory,Critical Anomaly,P00060-W020-2026-08-01,Inventory Record,Anomaly Score,99.09,60.0,39.09,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1670340.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00006,Inventory,Critical Anomaly,P00060-W020-2026-03-09,Inventory Record,Anomaly Score,98.86,60.0,38.86,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1670340.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00007,Inventory,Critical Anomaly,P00560-W020-2026-06-27,Inventory Record,Anomaly Score,98.86,60.0,38.86,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1670340.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00008,Inventory,Critical Anomaly,P00560-W020-2026-04-03,Inventory Record,Anomaly Score,99.0,60.0,39.0,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1663550.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00009,Inventory,Critical Anomaly,P00060-W020-2026-07-22,Inventory Record,Anomaly Score,99.0,60.0,39.0,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1663550.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00010,Inventory,Critical Anomaly,P00060-W020-2026-02-27,Inventory Record,Anomaly Score,98.85,60.0,38.85,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1663550.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00011,Inventory,Critical Anomaly,P00560-W020-2025-11-09,Inventory Record,Anomaly Score,98.85,60.0,38.85,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1663550.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00012,Inventory,Critical Anomaly,P00060-W020-2025-12-04,Inventory Record,Anomaly Score,98.98,60.0,38.98,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1656760.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00013,Inventory,Critical Anomaly,P00560-W020-2026-03-24,Inventory Record,Anomaly Score,98.98,60.0,38.98,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1656760.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00014,Inventory,Critical Anomaly,P00560-W020-2025-10-30,Inventory Record,Anomaly Score,98.83,60.0,38.83,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1656760.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00015,Inventory,Critical Anomaly,P00060-W020-2026-07-12,Inventory Record,Anomaly Score,98.83,60.0,38.83,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1656760.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00016,Inventory,Critical Anomaly,P00560-W020-2026-08-06,Inventory Record,Anomaly Score,98.97,60.0,38.97,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1649970.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00017,Inventory,Critical Anomaly,P00060-W020-2025-11-24,Inventory Record,Anomaly Score,98.97,60.0,38.97,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1649970.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00018,Inventory,Critical Anomaly,P00060-W020-2025-09-20,Inventory Record,Anomaly Score,98.82,60.0,38.82,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1649970.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00019,Inventory,Critical Anomaly,P00060-W020-2026-07-02,Inventory Record,Anomaly Score,98.82,60.0,38.82,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1649970.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00020,Inventory,Critical Anomaly,P00060-W020-2026-02-12,Inventory Record,Anomaly Score,98.82,60.0,38.82,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1649970.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
ISSUE-00021,Inventory,Critical Anomaly,P00560-W020-2025-10-25,Inventory Record,Anomaly Score,98.82,60.0,38.82,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,1649970.0,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock.",Multi-Factor Anomaly Detection,2026-09-16
