"Customer_ID","Customer_Name","Email","Phone","Join_Date","City","State","Region_ID","Customer_Type","Credit_Limit","Status"
"C000001","Priya Nair","customer1@example.com","9000000001","2025-09-02","City 1","Tamil Nadu","R002","Enterprise","75000","Active"
"C000002","Aarav Sharma","customer2@example.com","9000000002","2025-09-03","City 2","Maharashtra","R003","SMB","100000","Active"
"C000003","Anitha Iyer","customer3@example.com","9000000003","2025-09-04","City 3","Delhi","R004","Retail","125000","Active"
"C000004","Anitha Iyer","customer4@example.com","9000000004","2025-09-05","City 4","West Bengal","R005","SMB","150000","Active"
"C000005","Divya Menon","customer5@example.com","9000000005","2025-09-06","City 5","Telangana","R006","Retail","175000","Active"
"C000006","Anitha Iyer","customer6@example.com","9000000006","2025-09-07","City 6","Gujarat","R007","Enterprise","200000","Active"
"C000007","Meera Patel","customer7@example.com","9000000007","2025-09-08","City 7","Kerala","R008","Retail","225000","Active"
"C000008","Meera Patel","customer8@example.com","9000000008","2025-09-09","City 8","Rajasthan","R009","SMB","250000","Active"
"C000009","Meera Patel","customer9@example.com","9000000009","2025-09-10","City 9","Uttar Pradesh","R010","Enterprise","275000","Active"
"C000010","Aarav Sharma","customer10@example.com","9000000010","2025-09-11","City 10","Karnataka","R011","SMB","300000","Active"
"C000011","Arjun Rao","customer11@example.com","9000000011","2025-09-12","City 11","Tamil Nadu","R012","SMB","325000","Active"
"C000012","Neha Singh","customer12@example.com","9000000012","2025-09-13","City 12","Maharashtra","R013","Retail","350000","Active"
"C000013","Aarav Sharma","customer13@example.com","9000000013","2025-09-14","City 13","Delhi","R014","SMB","375000","Active"
"C000014","Priya Nair","customer14@example.com","9000000014","2025-09-15","City 14","West Bengal","R015","Retail","400000","Active"
"C000015","Vijay Kumar","customer15@example.com","9000000015","2025-09-16","City 15","Telangana","R016","SMB","425000","Active"
"C000016","Karthik Raj","customer16@example.com","9000000016","2025-09-17","City 16","Gujarat","R017","Enterprise","450000","Active"
"C000017","Rahul Verma","customer17@example.com","9000000017","2025-09-18","City 17","Kerala","R018","Enterprise","475000","Active"
"C000018","Divya Menon","customer18@example.com","9000000018","2025-09-19","City 18","Rajasthan","R019","SMB","500000","Active"
"C000019","Arjun Rao","customer19@example.com","9000000019","2025-09-20","City 19","Uttar Pradesh","R020","SMB","525000","Active"
"C000020","Neha Singh","customer20@example.com","9000000020","2025-09-21","City 20","Karnataka","R001","Retail","50000","Active"
"C000021","Aarav Sharma","customer21@example.com","9000000021","2025-09-22","City 21","Tamil Nadu","R002","Enterprise","75000","Active"
"C000022","Vijay Kumar","customer22@example.com","9000000022","2025-09-23","City 22","Maharashtra","R003","SMB","100000","Active"
"C000023","Anitha Iyer","customer23@example.com","9000000023","2025-09-24","City 23","Delhi","R004","Enterprise","125000","Active"
"C000024","Anitha Iyer","customer24@example.com","9000000024","2025-09-25","City 24","West Bengal","R005","SMB","150000","Active"
"C000025","Karthik Raj","customer25@example.com","9000000025","2025-09-26","City 25","Telangana","R006","Enterprise","175000","Active"
"C000026","Rahul Verma","customer26@example.com","9000000026","2025-09-27","City 26","Gujarat","R007","SMB","200000","Active"
"C000027","Karthik Raj","customer27@example.com","9000000027","2025-09-28","City 27","Kerala","R008","Retail","225000","Active"
"C000028","Karthik Raj","customer28@example.com","9000000028","2025-09-29","City 28","Rajasthan","R009","Retail","250000","Active"
"C000029","Anitha Iyer","customer29@example.com","9000000029","2025-09-30","City 29","Uttar Pradesh","R010","Enterprise","275000","Active"
"C000030","Anitha Iyer","customer30@example.com","9000000030","2025-10-01","City 30","Karnataka","R011","SMB","300000","Active"
"C000031","Anitha Iyer","customer31@example.com","9000000031","2025-10-02","City 31","Tamil Nadu","R012","Retail","325000","Inactive"
"C000032","Arjun Rao","customer32@example.com","9000000032","2025-10-03","City 32","Maharashtra","R013","SMB","350000","Active"
"C000033","Neha Singh","customer33@example.com","9000000033","2025-10-04","City 33","Delhi","R014","Retail","375000","Active"
"C000034","Neha Singh","customer34@example.com","9000000034","2025-10-05","City 34","West Bengal","R015","SMB","400000","Active"
"C000035","Anitha Iyer","customer35@example.com","9000000035","2025-10-06","City 35","Telangana","R016","SMB","425000","Active"
"C000036","Karthik Raj","customer36@example.com","9000000036","2025-10-07","City 36","Gujarat","R017","Retail","450000","Active"
"C000037","Anitha Iyer","customer37@example.com","9000000037","2025-10-08","City 37","Kerala","R018","Enterprise","475000","Active"
"C000038","Vijay Kumar","customer38@example.com","9000000038","2025-10-09","City 38","Rajasthan","R019","SMB","500000","Active"
"C000039","Priya Nair","customer39@example.com","9000000039","2025-10-10","City 39","Uttar Pradesh","R020","SMB","525000","Active"
"C000040","Karthik Raj","customer40@example.com","9000000040","2025-10-11","City 40","Karnataka","R001","Enterprise","50000","Active"
"C000041","Vijay Kumar","customer41@example.com","9000000041","2025-10-12","City 41","Tamil Nadu","R002","Enterprise","75000","Active"
"C000042","Arjun Rao","customer42@example.com","9000000042","2025-10-13","City 42","Maharashtra","R003","Enterprise","100000","Active"
"C000043","Neha Singh","customer43@example.com","9000000043","2025-10-14","City 43","Delhi","R004","SMB","125000","Active"
"C000044","Arjun Rao","customer44@example.com","9000000044","2025-10-15","City 44","West Bengal","R005","Retail","150000","Active"
"C000045","Anitha Iyer","customer45@example.com","9000000045","2025-10-16","City 45","Telangana","R006","SMB","175000","Active"
"C000046","Arjun Rao","customer46@example.com","9000000046","2025-10-17","City 46","Gujarat","R007","Retail","200000","Active"
"C000047","Karthik Raj","customer47@example.com","9000000047","2025-10-18","City 47","Kerala","R008","Enterprise","225000","Active"
"C000048","Arjun Rao","customer48@example.com","9000000048","2025-10-19","City 48","Rajasthan","R009","Enterprise","250000","Active"
"C000049","Divya Menon","customer49@example.com","9000000049","2025-10-20","City 49","Uttar Pradesh","R010","Retail","275000","Active"
"C000050","Priya Nair","customer50@example.com","9000000050","2025-10-21","City 50","Karnataka","R011","Retail","300000","Active"
"C000051","Meera Patel","customer51@example.com","9000000051","2025-10-22","City 51","Tamil Nadu","R012","SMB","325000","Active"
"C000052","Arjun Rao","customer52@example.com","9000000052","2025-10-23","City 52","Maharashtra","R013","Enterprise","350000","Active"
"C000053","Vijay Kumar","customer53@example.com","9000000053","2025-10-24","City 53","Delhi","R014","SMB","375000","Active"
"C000054","Anitha Iyer","customer54@example.com","9000000054","2025-10-25","City 54","West Bengal","R015","Retail","400000","Active"
"C000055","Arjun Rao","customer55@example.com","9000000055","2025-10-26","City 55","Telangana","R016","Enterprise","425000","Active"
"C000056","Neha Singh","customer56@example.com","9000000056","2025-10-27","City 56","Gujarat","R017","Retail","450000","Active"
"C000057","Neha Singh","customer57@example.com","9000000057","2025-10-28","City 57","Kerala","R018","Enterprise","475000","Active"
"C000058","Priya Nair","customer58@example.com","9000000058","2025-10-29","City 58","Rajasthan","R019","Retail","500000","Active"
"C000059","Divya Menon","customer59@example.com","9000000059","2025-10-30","City 59","Uttar Pradesh","R020","Enterprise","525000","Active"
"C000060","Neha Singh","customer60@example.com","9000000060","2025-10-31","City 60","Karnataka","R001","Retail","50000","Active"
"C000061","Vijay Kumar","customer61@example.com","9000000061","2025-11-01","City 61","Tamil Nadu","R002","Enterprise","75000","Active"
"C000062","Divya Menon","customer62@example.com","9000000062","2025-11-02","City 62","Maharashtra","R003","SMB","100000","Inactive"
"C000063","Karthik Raj","customer63@example.com","9000000063","2025-11-03","City 63","Delhi","R004","Retail","125000","Active"
"C000064","Meera Patel","customer64@example.com","9000000064","2025-11-04","City 64","West Bengal","R005","Enterprise","150000","Active"
"C000065","Neha Singh","customer65@example.com","9000000065","2025-11-05","City 65","Telangana","R006","SMB","175000","Active"
"C000066","Meera Patel","customer66@example.com","9000000066","2025-11-06","City 66","Gujarat","R007","Enterprise","200000","Active"
"C000067","Meera Patel","customer67@example.com","9000000067","2025-11-07","City 67","Kerala","R008","Enterprise","225000","Active"
"C000068","Vijay Kumar","customer68@example.com","9000000068","2025-11-08","City 68","Rajasthan","R009","SMB","250000","Active"
"C000069","Meera Patel","customer69@example.com","9000000069","2025-11-09","City 69","Uttar Pradesh","R010","Enterprise","275000","Active"
"C000070","Karthik Raj","customer70@example.com","9000000070","2025-11-10","City 70","Karnataka","R011","SMB","300000","Active"
"C000071","Neha Singh","customer71@example.com","9000000071","2025-11-11","City 71","Tamil Nadu","R012","SMB","325000","Active"
"C000072","Arjun Rao","customer72@example.com","9000000072","2025-11-12","City 72","Maharashtra","R013","Enterprise","350000","Active"
"C000073","Neha Singh","customer73@example.com","9000000073","2025-11-13","City 73","Delhi","R014","Enterprise","375000","Active"
"C000074","Priya Nair","customer74@example.com","9000000074","2025-11-14","City 74","West Bengal","R015","SMB","400000","Active"
"C000075","Arjun Rao","customer75@example.com","9000000075","2025-11-15","City 75","Telangana","R016","Retail","425000","Active"
"C000076","Meera Patel","customer76@example.com","9000000076","2025-11-16","City 76","Gujarat","R017","Retail","450000","Active"
